pH,TDS,Turbidity,Temp,Season,KNN_Status,Recommended_Crop
5.97,1049,33,20,Rabi,Abnormal,No Crops Suitable
6.92,637,3,31,Summer,Normal,Pomegranate
9.22,1465,11,29,Rabi,Abnormal,No Crops Suitable
6.17,1035,4,26,Rabi,Normal,Chillies
4.04,2474,25,29,Kharif,Abnormal,No Crops Suitable
6.11,324,12,26,Rabi,Normal,Jowar
5.69,2943,1,22,Kharif,Abnormal,No Crops Suitable
9.3,2003,46,33,Kharif,Abnormal,No Crops Suitable
6.81,683,2,15,Rabi,Normal,Bengal Gram
5.05,500,46,20,Rabi,Abnormal,No Crops Suitable
5.42,488,23,15,Summer,Abnormal,No Crops Suitable
6.44,731,5,24,Summer,Normal,Mango
7.06,1288,3,27,Summer,Normal,Pomegranate
6.79,801,9,23,Rabi,Normal,Sunflower
7.45,1679,1,32,Summer,Normal,Pomegranate
5.8,707,1,24,Summer,Normal,Tomato
6.83,1271,41,19,Rabi,Abnormal,No Crops Suitable
8.27,2836,42,44,Rabi,Abnormal,No Crops Suitable
7.7,1368,10,30,Rabi,Normal,Jowar
7.64,1757,6,25,Summer,Normal,Pomegranate
7.2,785,3,26,Kharif,Normal,Cotton
4.01,1359,27,30,Kharif,Abnormal,No Crops Suitable
7.48,1129,4,35,Summer,Normal,Sweet Orange
6.65,498,8,29,Rabi,Normal,Chillies
9.89,2643,28,38,Rabi,Abnormal,No Crops Suitable
6.19,849,1,15,Rabi,Normal,Onion
7.12,569,4,17,Rabi,Normal,Bengal Gram
5.74,402,1,30,Kharif,Normal,Paddy
6.44,720,2,15,Rabi,Normal,Onion
8.99,332,3,21,Summer,Abnormal,No Crops Suitable
5.72,1462,35,29,Rabi,Abnormal,No Crops Suitable
7.16,944,4,30,Kharif,Normal,Groundnut
6.65,1103,0,28,Summer,Normal,Sweet Orange
9.13,1797,39,10,Summer,Abnormal,No Crops Suitable
6.41,1589,28,28,Summer,Abnormal,No Crops Suitable
7.99,2004,28,25,Kharif,Abnormal,No Crops Suitable
5.81,897,8,21,Kharif,Normal,Maize
4.04,2518,24,19,Rabi,Abnormal,No Crops Suitable
6.22,312,8,28,Kharif,Normal,Groundnut
8.24,1518,11,43,Kharif,Abnormal,No Crops Suitable
7.48,888,49,40,Kharif,Abnormal,No Crops Suitable
6.85,599,1,26,Rabi,Normal,Chillies
8.14,706,3,16,Rabi,Normal,Bengal Gram
7.39,696,6,26,Kharif,Normal,Groundnut
7.23,373,5,32,Rabi,Normal,Jowar
8.0,1237,31,30,Summer,Abnormal,No Crops Suitable
6.18,514,8,24,Rabi,Normal,Chillies
5.49,449,14,33,Kharif,Abnormal,No Crops Suitable
7.31,1491,47,41,Kharif,Abnormal,No Crops Suitable
6.49,907,0,27,Kharif,Normal,Groundnut
4.04,349,40,31,Kharif,Abnormal,No Crops Suitable
5.71,391,3,33,Kharif,Normal,Paddy
6.91,1087,4,28,Summer,Normal,Mango
6.45,492,4,25,Summer,Normal,Sweet Orange
8.04,1011,1,25,Rabi,Normal,Jowar
7.86,610,2,29,Summer,Normal,Pomegranate
6.01,675,6,22,Rabi,Normal,Chillies
6.02,586,9,24,Rabi,Normal,Chillies
9.76,1449,2,28,Summer,Abnormal,No Crops Suitable
5.09,995,0,43,Summer,Abnormal,No Crops Suitable
7.27,2973,11,33,Kharif,Abnormal,No Crops Suitable
7.55,598,8,32,Rabi,Normal,Jowar
5.65,935,1,30,Summer,Normal,Mango
7.98,1402,40,10,Kharif,Abnormal,No Crops Suitable
7.03,359,0,27,Kharif,Normal,Groundnut
9.07,2179,18,34,Summer,Abnormal,No Crops Suitable
7.85,1092,2,26,Summer,Normal,Pomegranate
6.22,522,1,24,Kharif,Normal,Paddy
4.05,1519,39,20,Summer,Abnormal,No Crops Suitable
4.92,436,10,19,Kharif,Abnormal,No Crops Suitable
6.75,2023,42,42,Kharif,Abnormal,No Crops Suitable
4.51,678,42,38,Summer,Abnormal,No Crops Suitable
6.93,400,3,21,Rabi,Normal,Sunflower
6.63,573,5,25,Kharif,Normal,Groundnut
8.43,1796,44,31,Kharif,Abnormal,No Crops Suitable
8.96,1958,33,32,Rabi,Abnormal,No Crops Suitable
5.41,2170,6,18,Kharif,Abnormal,No Crops Suitable
5.71,583,41,38,Rabi,Abnormal,No Crops Suitable
7.31,1214,4,25,Summer,Normal,Sweet Orange
8.25,1296,40,24,Kharif,Abnormal,No Crops Suitable
7.55,990,18,25,Kharif,Normal,Cotton
7.79,1177,3,34,Summer,Normal,Pomegranate
6.74,481,6,29,Kharif,Normal,Groundnut
4.26,2286,39,22,Rabi,Abnormal,No Crops Suitable
6.91,400,9,22,Summer,Normal,Banana
7.9,2831,13,28,Kharif,Abnormal,No Crops Suitable
9.86,1176,24,44,Rabi,Abnormal,No Crops Suitable
9.84,2251,33,40,Rabi,Abnormal,No Crops Suitable
6.89,672,4,21,Rabi,Normal,Sunflower
7.07,320,0,32,Rabi,Normal,Jowar
6.59,489,38,10,Kharif,Abnormal,No Crops Suitable
7.94,562,23,33,Rabi,Abnormal,No Crops Suitable
5.92,450,0,22,Summer,Normal,Tomato
6.21,509,5,23,Rabi,Normal,Bengal Gram
7.28,2646,43,24,Summer,Abnormal,No Crops Suitable
7.7,2973,12,15,Rabi,Abnormal,No Crops Suitable
6.36,2628,38,39,Summer,Abnormal,No Crops Suitable
6.88,433,4,25,Rabi,Normal,Sunflower
6.6,1385,0,27,Rabi,Normal,Chillies
6.13,2551,10,42,Rabi,Abnormal,No Crops Suitable
5.87,1205,2,25,Kharif,Normal,Cotton
6.8,1824,41,30,Kharif,Abnormal,No Crops Suitable
4.21,2772,13,29,Summer,Abnormal,No Crops Suitable
8.27,1859,27,39,Summer,Abnormal,No Crops Suitable
7.69,405,10,27,Summer,Normal,Pomegranate
7.07,1208,0,24,Rabi,Normal,Sunflower
6.91,1615,38,28,Rabi,Abnormal,No Crops Suitable
5.66,1592,4,23,Summer,Normal,Tomato
9.09,2593,24,26,Kharif,Abnormal,No Crops Suitable
9.26,422,2,13,Rabi,Abnormal,No Crops Suitable
7.23,776,41,45,Rabi,Abnormal,No Crops Suitable
8.3,1422,43,11,Rabi,Abnormal,No Crops Suitable
6.88,789,4,28,Summer,Normal,Banana
7.34,857,5,30,Kharif,Normal,Groundnut
7.98,2127,24,40,Kharif,Abnormal,No Crops Suitable
6.49,703,6,21,Rabi,Normal,Chillies
6.22,1314,5,26,Kharif,Normal,Cotton
8.85,2452,40,10,Summer,Abnormal,No Crops Suitable
7.1,492,3,22,Summer,Normal,Banana
8.62,1778,4,40,Kharif,Abnormal,No Crops Suitable
5.62,2467,3,21,Summer,Normal,Tomato
9.37,313,5,34,Kharif,Abnormal,No Crops Suitable
5.95,1387,23,21,Kharif,Abnormal,No Crops Suitable
5.45,2139,11,25,Kharif,Abnormal,No Crops Suitable
6.18,815,10,24,Rabi,Normal,Chillies
6.69,690,6,28,Kharif,Normal,Groundnut
6.31,1194,8,22,Rabi,Normal,Sunflower
6.87,607,4,29,Kharif,Normal,Groundnut
7.31,1125,11,34,Rabi,Abnormal,No Crops Suitable
5.34,1442,3,40,Rabi,Abnormal,No Crops Suitable
7.21,333,5,23,Rabi,Normal,Sunflower
7.47,1999,20,39,Summer,Abnormal,No Crops Suitable
6.74,344,7,31,Summer,Normal,Pomegranate
6.62,655,3,25,Kharif,Normal,Maize
4.73,555,45,26,Rabi,Abnormal,No Crops Suitable
7.92,2325,16,24,Summer,Abnormal,No Crops Suitable
5.94,545,6,23,Kharif,Normal,Castor
6.92,765,7,22,Kharif,Normal,Red Gram
6.45,1048,42,18,Rabi,Abnormal,No Crops Suitable
7.59,515,12,27,Rabi,Normal,Jowar
8.26,459,38,38,Kharif,Abnormal,No Crops Suitable
6.17,463,4,20,Rabi,Normal,Onion
9.96,212,16,28,Rabi,Abnormal,No Crops Suitable
5.59,203,33,15,Rabi,Abnormal,No Crops Suitable
8.71,1454,44,40,Kharif,Abnormal,No Crops Suitable
5.7,1534,26,17,Kharif,Abnormal,No Crops Suitable
5.67,2652,47,24,Summer,Abnormal,No Crops Suitable
9.76,703,1,31,Summer,Abnormal,No Crops Suitable
9.87,2173,47,39,Kharif,Abnormal,No Crops Suitable
7.13,1162,7,27,Summer,Normal,Banana
5.22,619,20,40,Kharif,Abnormal,No Crops Suitable
5.97,647,0,33,Kharif,Normal,Paddy
8.16,690,2,19,Rabi,Normal,Bengal Gram
8.39,350,49,35,Kharif,Abnormal,No Crops Suitable
5.95,1334,21,14,Summer,Abnormal,No Crops Suitable
6.65,1227,7,25,Summer,Normal,Banana
6.41,539,1,25,Summer,Normal,Mango
6.57,1199,1,28,Summer,Normal,Sweet Orange
7.51,2051,50,41,Summer,Abnormal,No Crops Suitable
6.61,1637,48,42,Summer,Abnormal,No Crops Suitable
6.12,712,48,29,Rabi,Abnormal,No Crops Suitable
6.99,304,1,26,Kharif,Normal,Groundnut
5.31,827,1,26,Kharif,Normal,Castor
5.74,924,0,21,Kharif,Normal,Castor
6.54,531,0,28,Summer,Normal,Sweet Orange
4.4,2670,50,35,Rabi,Abnormal,No Crops Suitable
5.74,2798,33,25,Summer,Abnormal,No Crops Suitable
6.95,1072,37,18,Kharif,Abnormal,No Crops Suitable
5.44,977,31,31,Rabi,Abnormal,No Crops Suitable
9.38,1057,21,37,Kharif,Abnormal,No Crops Suitable
7.28,555,39,11,Kharif,Abnormal,No Crops Suitable
6.62,615,4,21,Rabi,Normal,Onion
5.84,697,1,23,Kharif,Normal,Castor
7.76,1721,4,35,Summer,Normal,Pomegranate
7.73,2957,17,27,Summer,Abnormal,No Crops Suitable
6.23,468,2,25,Kharif,Normal,Groundnut
6.27,2772,43,33,Kharif,Abnormal,No Crops Suitable
6.58,870,1,18,Rabi,Normal,Onion
6.77,934,0,26,Rabi,Normal,Chillies
4.02,578,3,37,Rabi,Abnormal,No Crops Suitable
4.91,2994,22,21,Rabi,Abnormal,No Crops Suitable
9.08,1302,4,42,Summer,Abnormal,No Crops Suitable
6.55,1387,20,21,Summer,Abnormal,No Crops Suitable
5.91,495,4,20,Kharif,Normal,Maize
6.66,801,0,18,Kharif,Normal,Maize
6.08,1408,3,20,Rabi,Normal,Chillies
6.06,425,1,32,Kharif,Normal,Paddy
5.99,2786,5,25,Summer,Abnormal,No Crops Suitable
8.52,1152,36,39,Rabi,Abnormal,No Crops Suitable
6.29,2924,40,20,Rabi,Abnormal,No Crops Suitable
5.96,973,48,42,Summer,Abnormal,No Crops Suitable
4.92,1083,16,44,Summer,Abnormal,No Crops Suitable
6.67,435,4,21,Summer,Normal,Banana
6.17,1704,2,23,Summer,Normal,Tomato
8.27,764,39,43,Rabi,Abnormal,No Crops Suitable
5.13,263,34,39,Kharif,Abnormal,No Crops Suitable
7.22,1636,3,44,Rabi,Abnormal,No Crops Suitable
9.87,2057,35,28,Rabi,Abnormal,No Crops Suitable
7.28,735,10,26,Kharif,Normal,Groundnut
5.65,400,2,24,Kharif,Normal,Castor
7.14,855,8,18,Kharif,Normal,Red Gram
7.82,310,16,14,Summer,Abnormal,No Crops Suitable
7.77,626,4,17,Rabi,Normal,Bengal Gram
6.6,790,5,33,Summer,Normal,Pomegranate
6.25,936,2,26,Kharif,Normal,Castor
5.19,803,29,19,Summer,Abnormal,No Crops Suitable
6.03,941,5,25,Summer,Normal,Mango
4.59,2291,39,37,Rabi,Abnormal,No Crops Suitable
8.84,695,2,17,Rabi,Normal,Bengal Gram
9.47,585,43,27,Summer,Abnormal,No Crops Suitable
7.33,688,1,19,Rabi,Normal,Bengal Gram
6.28,2283,11,29,Summer,Abnormal,No Crops Suitable
6.07,411,4,27,Kharif,Normal,Paddy
4.68,1406,10,16,Kharif,Abnormal,No Crops Suitable
8.58,1879,42,19,Kharif,Abnormal,No Crops Suitable
7.87,376,10,16,Rabi,Abnormal,No Crops Suitable
6.12,1323,2,22,Rabi,Normal,Chillies
6.63,1379,5,20,Summer,Normal,Banana
4.75,504,23,40,Kharif,Abnormal,No Crops Suitable
6.26,482,5,33,Kharif,Normal,Paddy
7.94,789,11,32,Kharif,Normal,Cotton
6.87,420,2,24,Rabi,Normal,Bengal Gram
8.0,1769,35,45,Rabi,Abnormal,No Crops Suitable
8.68,488,33,12,Rabi,Abnormal,No Crops Suitable
5.82,2339,3,22,Summer,Normal,Tomato
8.97,352,0,16,Rabi,Normal,Bengal Gram
5.96,883,7,25,Kharif,Normal,Castor
4.53,2817,13,27,Summer,Abnormal,No Crops Suitable
7.98,2962,4,32,Summer,Abnormal,No Crops Suitable
6.75,374,3,23,Summer,Normal,Tomato
4.49,2278,11,27,Summer,Abnormal,No Crops Suitable
4.91,1958,29,37,Summer,Abnormal,No Crops Suitable
6.04,1114,2,23,Rabi,Normal,Sunflower
8.6,1644,24,25,Rabi,Abnormal,No Crops Suitable
4.39,865,30,17,Rabi,Abnormal,No Crops Suitable
8.87,600,30,16,Kharif,Abnormal,No Crops Suitable
5.42,1218,10,27,Summer,Abnormal,No Crops Suitable
7.42,1273,10,30,Summer,Normal,Banana
6.9,727,1,28,Summer,Normal,Mango
4.65,1591,31,27,Kharif,Abnormal,No Crops Suitable
8.66,680,9,41,Summer,Abnormal,No Crops Suitable
7.18,984,9,31,Kharif,Normal,Cotton
6.4,1814,6,23,Rabi,Abnormal,No Crops Suitable
4.47,1777,47,42,Summer,Abnormal,No Crops Suitable
7.29,878,8,27,Summer,Normal,Pomegranate
6.53,526,8,21,Rabi,Normal,Sunflower
8.68,983,35,13,Kharif,Abnormal,No Crops Suitable
8.16,1314,16,14,Summer,Abnormal,No Crops Suitable
6.21,302,43,35,Kharif,Abnormal,No Crops Suitable
5.86,383,7,26,Kharif,Normal,Castor
6.54,303,15,29,Rabi,Normal,Jowar
7.42,1496,1,26,Summer,Normal,Pomegranate
8.18,2318,0,34,Kharif,Abnormal,No Crops Suitable
7.57,455,9,26,Kharif,Normal,Red Gram
6.66,418,9,31,Kharif,Normal,Cotton
7.8,2552,6,32,Summer,Abnormal,No Crops Suitable
9.49,1284,15,18,Kharif,Abnormal,No Crops Suitable
8.2,972,10,26,Rabi,Normal,Jowar
7.72,720,24,40,Summer,Abnormal,No Crops Suitable
5.51,324,9,20,Kharif,Normal,Castor
7.68,1904,30,32,Summer,Abnormal,No Crops Suitable
7.94,2137,41,28,Summer,Abnormal,No Crops Suitable
7.44,1129,10,26,Summer,Normal,Banana
7.49,963,10,24,Rabi,Normal,Sunflower
6.65,806,9,26,Summer,Normal,Pomegranate
6.29,648,2,23,Kharif,Normal,Castor
7.61,2937,11,23,Kharif,Abnormal,No Crops Suitable
9.58,900,25,25,Summer,Abnormal,No Crops Suitable
4.44,2684,14,13,Summer,Abnormal,No Crops Suitable
9.72,2650,34,17,Summer,Abnormal,No Crops Suitable
7.28,812,28,21,Kharif,Abnormal,No Crops Suitable
4.71,679,20,36,Summer,Abnormal,No Crops Suitable
4.02,1996,10,12,Rabi,Abnormal,No Crops Suitable
6.06,721,0,28,Summer,Normal,Mango
7.0,461,9,18,Kharif,Normal,Maize
4.1,2171,50,36,Kharif,Abnormal,No Crops Suitable
8.96,521,21,45,Summer,Abnormal,No Crops Suitable
9.19,2951,45,41,Rabi,Abnormal,No Crops Suitable
6.55,1168,10,22,Rabi,Normal,Sunflower
7.31,832,8,23,Kharif,Normal,Cotton
9.53,1576,12,38,Kharif,Abnormal,No Crops Suitable
4.05,2854,2,12,Rabi,Abnormal,No Crops Suitable
8.46,875,49,43,Kharif,Abnormal,No Crops Suitable
6.46,2224,8,21,Summer,Normal,Tomato
7.59,1829,42,43,Summer,Abnormal,No Crops Suitable
9.43,2075,38,14,Rabi,Abnormal,No Crops Suitable
5.22,327,20,19,Summer,Abnormal,No Crops Suitable
6.11,1868,10,14,Summer,Abnormal,No Crops Suitable
6.26,772,5,20,Kharif,Normal,Castor
6.56,1122,3,34,Summer,Normal,Pomegranate
6.01,2220,7,21,Summer,Normal,Tomato
6.62,386,1,23,Rabi,Normal,Bengal Gram
9.36,1319,41,26,Summer,Abnormal,No Crops Suitable
6.31,471,3,29,Kharif,Normal,Groundnut
6.07,881,4,25,Kharif,Normal,Castor
5.21,1317,15,33,Kharif,Abnormal,No Crops Suitable
5.28,2217,13,20,Summer,Abnormal,No Crops Suitable
7.19,1170,1,33,Summer,Normal,Sweet Orange
