temperature,turbidity,tds,ph,result
22,43,6,3,2
38,33,6,1,2
37,36,12,5,2
17,52,1,14,2
33,80,8,2,2
30,30,3,13,2
28,21,4,11,2
15,73,9,9,2
27,80,1,12,2
31,21,5,13,2
23,35,3,13,2
33,71,2,6,2
34,65,10,14,1
31,80,6,1,2
17,34,9,10,1
25,48,4,8,2
35,25,6,3,2
32,43,8,5,2
29,56,5,7,2
36,71,12,14,2
16,59,11,11,1
20,31,5,13,2
40,37,4,12,2
30,55,8,14,1
38,26,11,7,2
20,57,8,6,2
32,41,12,14,1
34,65,3,5,2
35,67,8,3,2
27,65,4,8,2
15,66,8,1,2
30,79,2,14,2
21,75,4,14,2
16,79,10,9,2
27,36,4,1,2
15,66,5,11,2
35,64,11,7,2
27,70,11,3,2
21,23,10,12,1
23,39,3,6,2
19,75,7,3,2
35,71,2,8,2
37,46,2,3,2
15,27,3,7,2
29,35,5,13,2
30,38,7,14,1
19,75,10,7,2
25,73,4,9,2
33,29,1,3,2
17,24,2,2,2
31,68,7,7,2
37,67,5,7,2
17,79,6,8,2
36,55,1,5,2
28,72,3,10,2
25,20,7,9,2
29,50,3,13,2
23,49,6,4,2
40,44,12,7,2
23,53,11,7,2
39,74,8,6,2
22,38,8,5,2
23,35,1,9,2
17,31,11,12,1
16,34,3,5,2
40,34,4,7,2
19,37,9,2,2
34,22,4,7,2
31,29,3,10,2
28,26,4,13,2
18,24,1,6,2
37,78,8,5,2
21,59,11,4,2
37,29,5,12,2
19,35,10,13,1
30,57,12,10,1
39,76,8,14,2
38,42,2,1,2
30,50,7,14,1
40,36,8,4,2
23,77,1,10,2
25,40,10,5,2
38,74,12,9,2
21,27,3,7,2
20,24,6,8,2
24,49,7,8,2
19,62,12,8,2
16,65,4,3,2
30,25,1,4,2
16,32,5,14,2
31,25,11,1,2
16,65,12,6,2
35,67,9,8,2
37,50,1,8,2
39,34,6,7,2
22,72,3,7,2
28,48,11,13,1
38,52,4,14,2
38,47,1,9,2
27,49,9,12,1
26,73,11,9,2
26,49,2,11,2
20,57,6,14,1
33,66,3,2,2
25,80,7,5,2
40,65,9,7,2
27,51,3,1,2
22,35,5,8,2
29,72,11,13,2
21,54,6,13,1
21,37,8,4,2
27,70,1,14,2
32,41,4,12,2
15,44,10,8,0
32,36,12,3,2
31,22,4,2,2
22,50,2,14,2
28,73,6,14,2
25,35,9,13,1
36,42,3,9,2
39,71,10,8,2
19,28,11,9,0
18,32,2,7,2
16,65,9,7,2
30,29,10,1,2
28,63,6,10,1
23,21,8,7,2
15,23,5,14,2
22,51,11,13,1
22,66,3,6,2
31,38,10,2,2
29,57,12,3,2
30,43,8,5,2
17,78,4,7,2
31,29,4,14,2
38,22,7,1,2
23,68,1,2,2
28,42,5,13,2
40,66,1,5,2
32,60,5,3,2
33,68,2,5,2
20,77,5,14,2
35,78,10,14,2
20,24,6,1,2
29,23,7,10,1
37,65,6,14,2
17,45,12,6,2
39,41,1,14,2
20,56,2,14,2
23,61,5,14,2
40,61,4,6,2
25,28,6,3,2
36,48,8,8,2
37,46,12,4,2
16,68,5,7,2
17,33,7,5,2
23,57,7,1,2
27,30,2,8,2
36,57,5,14,2
35,29,6,8,2
30,58,8,9,2
24,66,6,12,1
29,20,1,3,2
28,35,3,5,2
30,65,10,1,2
40,62,3,9,2
17,51,7,10,1
18,38,2,12,2
32,51,1,2,2
21,62,11,11,1
22,53,1,4,2
37,57,6,9,2
32,38,7,8,2
39,46,1,14,2
20,41,12,14,1
23,44,6,9,2
28,55,9,12,1
18,53,2,12,2
15,34,3,9,2
22,67,10,12,1
19,66,6,14,1
19,32,12,5,2
20,80,6,3,2
36,61,1,3,2
31,78,1,13,2
36,57,9,14,2
15,55,8,4,2
40,57,4,4,2
20,44,3,2,2
22,49,11,3,2
20,39,9,7,2
22,56,10,13,1
29,55,1,8,2
22,71,11,7,2
26,63,10,4,2
18,49,11,8,0
20,45,6,12,1
37,69,6,4,2
16,78,10,2,2
31,64,3,11,2
27,78,7,7,2
31,79,12,10,2
16,74,3,6,2
29,21,4,12,2
38,51,12,14,2
38,63,4,6,2
21,53,7,13,1
39,64,9,4,2
18,44,6,12,1
25,36,1,2,2
37,78,9,8,2
18,48,8,1,2
39,30,2,2,2
36,50,5,1,2
39,72,5,8,2
26,28,7,12,1
28,46,1,14,2
22,59,5,8,2
22,40,1,2,2
18,69,12,12,1
38,54,2,11,2
24,48,4,2,2
16,37,9,6,2
26,73,12,6,2
31,62,11,9,2
40,49,4,6,2
36,67,6,14,2
26,50,9,4,2
39,22,11,10,2
28,59,6,10,1
25,54,9,14,1
21,63,8,5,2
39,56,2,12,2
16,71,5,5,2
16,61,9,2,2
20,80,8,7,2
26,34,1,7,2
19,24,11,8,0
16,51,5,13,2
40,77,4,11,2
16,55,1,12,2
34,58,1,1,2
37,67,6,5,2
39,26,4,5,2
25,42,10,7,2
37,23,11,11,2
40,51,2,7,2
29,35,9,3,2
36,46,1,12,2
21,32,6,14,1
31,28,4,11,2
19,68,8,9,2
18,56,3,4,2
23,28,12,7,2
24,41,11,2,2
33,79,6,3,2
30,28,7,8,2
36,57,9,12,2
23,27,12,13,1
36,43,3,9,2
30,47,5,5,2
35,22,5,13,2
36,71,5,10,2
24,72,2,13,2
36,29,5,11,2
25,56,5,1,2
40,66,3,13,2
15,80,8,11,2
18,38,7,11,1
29,80,4,9,2
31,61,5,3,2
17,74,10,8,2
25,55,12,2,2
30,68,4,13,2
36,22,12,13,2
17,69,2,13,2
20,70,1,9,2
28,29,5,3,2
23,70,4,6,2
39,35,3,1,2
27,32,11,13,1
32,58,11,7,2
15,77,5,6,2
40,38,9,7,2
30,66,6,3,2
27,66,5,12,2
25,26,5,8,2
20,65,6,1,2
31,56,1,9,2
19,48,3,10,2
26,21,9,6,2
40,40,2,12,2
21,65,2,14,2
36,30,8,14,2
37,29,11,3,2
24,52,10,5,2
21,23,12,14,1
20,63,7,8,2
17,71,3,2,2
24,43,2,14,2
23,78,12,9,2
18,32,10,2,2
18,68,8,14,1
39,38,9,3,2
15,34,4,9,2
23,45,10,1,2
15,63,12,13,1
34,27,4,5,2
33,61,1,10,2
29,75,12,13,2
29,28,11,13,1
25,62,10,14,1
29,37,11,9,2
31,24,10,5,2
36,74,12,10,2
33,31,6,14,1
37,42,8,3,2
17,42,8,7,2
20,76,9,1,2
19,59,6,4,2
26,79,1,6,2
36,76,3,7,2
30,62,4,13,2
30,42,9,5,2
24,31,3,5,2
31,67,11,12,1
23,73,2,11,2
28,71,4,4,2
28,43,6,9,2
22,35,6,1,2
19,48,6,4,2
28,63,3,13,2
33,76,1,1,2
21,56,7,7,2
35,28,10,12,2
22,71,1,14,2
36,53,4,10,2
15,22,11,1,2
16,42,1,9,2
17,30,2,13,2
35,32,5,11,2
40,60,5,1,2
36,31,12,1,2
38,76,4,5,2
32,44,1,6,2
18,61,1,1,2
29,62,12,10,1
27,53,2,12,2
18,20,5,5,2
36,55,2,14,2
21,76,2,13,2
30,30,10,12,1
39,75,12,3,2
19,52,4,2,2
16,51,10,9,2
29,74,8,10,2
36,63,7,7,2
16,27,10,1,2
18,55,8,1,2
33,52,6,1,2
23,28,10,10,1
31,79,5,6,2
39,58,9,12,2
34,58,9,8,2
29,65,7,6,2
24,20,5,6,2
17,44,7,2,2
36,43,12,6,2
17,34,11,5,2
21,31,9,13,1
19,77,11,5,2
16,44,7,9,2
28,68,9,11,1
33,69,12,8,2
26,50,9,8,2
29,48,10,5,2
36,79,3,11,2
34,47,9,4,2
17,33,9,5,2
27,30,1,9,2
31,75,9,11,2
36,44,7,12,2
27,69,5,10,2
38,79,10,13,2
36,62,7,8,2
19,31,3,2,2
24,31,2,5,2
22,51,9,3,2
39,33,3,12,2
19,40,5,7,2
20,76,11,6,2
30,77,5,5,2
20,29,3,1,2
21,59,10,13,1
28,59,2,4,2
37,77,12,11,2
23,56,7,6,2
23,67,2,1,2
17,60,6,12,1
17,40,6,4,2
31,21,9,8,2
32,66,6,6,2
22,67,1,6,2
21,36,2,14,2
36,21,8,1,2
33,26,11,10,1
26,28,1,10,2
27,42,4,1,2
20,55,11,1,2
25,31,4,9,2
19,62,5,9,2
40,24,1,3,2
35,27,5,2,2
16,22,4,4,2
20,21,6,5,2
23,52,5,4,2
28,35,8,11,1
15,38,12,3,2
33,23,6,9,2
35,72,1,6,2
38,59,2,14,2
37,80,2,3,2
18,35,8,3,2
20,47,4,13,2
19,48,12,4,2
17,80,5,8,2
17,80,4,11,2
40,63,10,11,2
15,29,8,2,2
40,44,5,2,2
36,79,8,10,2
30,65,9,7,2
16,21,11,13,1
38,36,8,4,2
29,57,9,4,2
18,76,4,6,2
36,67,8,12,2
28,43,1,5,2
32,20,11,2,2
20,39,11,7,2
22,67,12,4,2
40,66,9,10,2
16,68,1,3,2
33,43,4,5,2
23,29,6,3,2
25,68,11,4,2
19,52,7,11,1
16,50,9,10,1
16,33,12,6,2
17,63,4,6,2
20,52,9,7,2
21,69,4,7,2
27,49,8,7,2
31,78,12,7,2
29,52,1,14,2
35,52,4,3,2
29,54,5,1,2
40,38,1,4,2
23,77,4,11,2
32,64,9,11,1
22,49,5,11,2
24,71,10,10,2
21,47,1,11,2
30,71,1,2,2
22,73,4,10,2
28,70,3,6,2
35,80,6,6,2
30,33,10,8,2
15,47,1,3,2
22,52,8,3,2
29,47,9,10,1
36,73,10,4,2
26,65,3,2,2
16,31,2,11,2
31,40,7,14,1
17,75,9,14,2
25,41,10,14,1
29,56,7,2,2
15,52,12,11,1
36,28,6,2,2
35,74,1,12,2
17,53,6,9,2
25,43,4,12,2
25,65,6,9,2
17,31,3,2,2
21,39,3,12,2
18,26,6,6,2
28,22,10,1,2
25,20,6,8,2
37,36,9,11,2
38,30,9,8,2
17,63,9,4,2
35,23,6,11,2
29,55,2,4,2
39,75,8,6,2
26,24,10,8,0
20,78,11,1,2
20,49,9,12,1
29,68,8,3,2
32,35,9,6,2
15,79,1,12,2
25,70,5,4,2
40,71,1,4,2
29,48,2,2,2
40,62,3,3,2
34,51,2,11,2
20,37,5,9,2
35,27,9,3,2
32,64,12,4,2
31,72,6,2,2
18,50,3,3,2
22,40,8,14,1
32,63,3,4,2
20,55,3,9,2
32,74,3,1,2
34,33,9,1,2
20,66,12,14,1
39,21,12,12,2
20,79,2,6,2
32,51,9,13,1
29,50,4,3,2
28,48,10,8,0
19,80,9,13,2
24,43,9,6,2
22,43,10,9,0
17,66,8,12,1
18,47,5,4,2
28,25,7,11,1
40,20,6,12,2
26,35,11,3,2
40,49,10,9,2
19,74,1,11,2
32,72,5,9,2
30,29,1,5,2
27,62,12,11,1
32,41,3,9,2
22,72,3,13,2
35,22,12,7,2
16,69,5,7,2
25,37,11,1,2
36,61,7,7,2
34,77,2,13,2
18,27,10,1,2
19,53,7,2,2
16,42,4,5,2
38,31,7,13,2
30,58,3,7,2
18,79,6,9,2
40,33,3,12,2
23,80,5,4,2
28,42,6,9,2
36,32,7,7,2
26,28,11,13,1
26,25,10,3,2
27,54,2,1,2
24,77,2,7,2
40,47,12,7,2
24,67,9,13,1
38,67,4,2,2
26,48,12,9,0
23,31,3,5,2
15,57,11,10,1
19,28,3,14,2
18,24,6,13,1
20,34,8,12,1
35,49,10,14,2
37,72,7,2,2
30,54,4,14,2
39,63,1,6,2
39,24,10,8,2
35,75,8,12,2
36,32,3,10,2
33,67,2,2,2
17,44,8,13,1
31,54,3,12,2
32,24,5,7,2
15,28,4,10,2
40,26,7,6,2
27,22,2,6,2
26,44,9,10,1
20,42,9,3,2
33,77,4,3,2
21,74,9,5,2
22,29,2,14,2
33,36,7,2,2
21,30,7,7,2
17,71,5,14,2
25,71,2,13,2
30,41,4,13,2
33,41,4,9,2
36,63,4,9,2
40,57,6,9,2
31,29,5,10,2
37,28,8,11,2
24,65,6,8,2
24,63,10,14,1
17,46,5,7,2
24,39,10,13,1
30,74,7,9,2
31,47,4,10,2
18,34,6,6,2
35,56,9,12,2
29,46,8,10,1
20,75,10,7,2
36,26,4,4,2
32,30,5,10,2
40,35,2,4,2
36,71,11,14,2
26,37,8,5,2
37,31,4,3,2
34,25,9,12,1
17,23,6,3,2
17,54,3,11,2
24,55,5,1,2
34,34,4,12,2
39,56,3,11,2
21,79,11,7,2
38,75,11,1,2
30,53,9,10,1
24,44,3,14,2
24,38,6,7,2
24,34,8,14,1
23,58,9,12,1
29,20,1,2,2
23,74,3,8,2
31,46,5,12,2
40,29,3,5,2
39,23,12,9,2
29,44,9,4,2
26,69,9,5,2
20,42,3,12,2
24,53,3,5,2
35,33,4,5,2
29,80,2,6,2
22,35,5,7,2
29,37,9,10,1
39,33,7,10,2
38,68,2,8,2
34,29,8,13,1
17,79,2,11,2
22,78,1,6,2
25,64,11,14,1
30,79,12,10,2
27,30,2,1,2
17,37,3,7,2
39,79,6,11,2
39,48,3,2,2
23,61,10,4,2
22,39,4,11,2
33,78,8,14,2
34,55,12,12,1
40,57,2,12,2
25,56,7,5,2
37,44,9,2,2
25,50,2,13,2
29,49,4,12,2
34,72,5,6,2
30,34,3,14,2
26,60,12,5,2
35,53,4,6,2
25,65,7,9,2
35,61,11,6,2
26,36,6,11,1
26,77,9,2,2
40,39,12,6,2
21,62,11,6,2
34,58,7,11,1
21,53,8,10,1
31,50,1,8,2
31,67,8,14,1
19,40,5,9,2
31,57,1,1,2
19,46,5,1,2
17,75,8,2,2
21,62,8,14,1
30,70,4,4,2
28,67,9,14,1
33,52,2,7,2
31,66,6,3,2
35,48,12,12,2
31,77,6,8,2
36,59,8,3,2
19,68,4,6,2
34,53,11,4,2
17,75,11,8,2
22,54,3,12,2
33,45,3,10,2
39,45,4,13,2
23,52,5,6,2
39,22,12,4,2
26,63,8,2,2
39,57,2,4,2
25,41,3,10,2
36,37,12,6,2
37,68,1,4,2
21,58,12,7,2
34,79,5,13,2
40,46,9,4,2
38,67,1,11,2
34,23,7,7,2
39,40,5,2,2
34,42,7,1,2
16,20,4,14,2
37,61,4,9,2
22,53,3,6,2
30,42,5,10,2
27,20,1,12,2
30,58,10,10,1
40,77,5,3,2
23,56,12,4,2
32,71,6,3,2
15,36,4,4,2
26,29,6,11,1
26,49,8,14,1
31,52,7,14,1
22,78,10,10,2
25,72,11,8,2
30,67,4,7,2
36,43,9,7,2
32,67,1,4,2
15,31,12,12,1
36,26,7,14,2
40,39,3,1,2
25,45,6,1,2
36,25,4,4,2
32,77,3,11,2
33,50,3,8,2
32,64,10,10,1
27,49,4,6,2
18,52,10,8,2
25,49,9,2,2
26,79,9,12,2
29,79,7,8,2
26,80,7,2,2
37,54,3,4,2
22,73,6,4,2
31,61,8,10,1
28,24,5,4,2
27,67,1,8,2
32,44,10,8,2
28,38,2,2,2
34,39,1,7,2
29,37,4,12,2
35,27,8,14,2
22,49,2,7,2
20,21,2,10,2
22,25,12,2,2
37,61,9,2,2
32,65,6,4,2
20,73,3,5,2
26,57,5,11,2
24,57,3,7,2
17,38,7,8,2
20,26,12,5,2
27,44,10,13,1
33,64,10,8,2
30,65,2,4,2
22,62,10,9,2
32,63,4,3,2
21,74,7,2,2
27,59,9,10,1
20,76,9,10,2
21,42,12,11,1
16,65,3,14,2
36,79,5,2,2
24,72,8,10,2
29,54,6,2,2
38,49,8,12,2
36,53,11,6,2
17,44,9,6,2
28,54,3,7,2
37,77,12,7,2
27,43,1,9,2
21,65,10,4,2
20,59,2,4,2
36,39,4,10,2
33,37,12,8,2
40,41,1,3,2
32,45,12,12,1
39,59,3,9,2
37,40,1,1,2
22,69,10,1,2
29,62,8,6,2
32,49,9,3,2
27,78,10,10,2
40,35,7,2,2
32,72,4,3,2
30,31,1,13,2
19,80,12,4,2
39,24,8,2,2
34,70,8,11,2
29,36,12,4,2
33,37,11,14,1
16,55,4,1,2
27,49,10,4,2
29,77,3,14,2
15,59,12,10,1
27,58,3,2,2
40,74,5,8,2
27,24,6,8,2
19,60,3,6,2
20,22,12,8,0
19,29,1,2,2
19,30,1,9,2
24,52,6,12,1
32,24,6,2,2
21,69,4,10,2
38,39,5,2,2
35,58,2,8,2
32,69,6,5,2
31,58,5,12,2
28,64,5,5,2
39,72,12,12,2
15,38,4,14,2
29,39,2,14,2
16,29,8,1,2
31,29,5,10,2
26,37,1,5,2
38,32,1,9,2
27,45,8,5,2
27,35,8,7,2
31,47,2,10,2
29,70,3,8,2
38,67,1,1,2
30,57,10,7,2
37,66,1,9,2
38,47,1,4,2
20,43,11,12,1
30,54,7,13,1
20,50,7,13,1
29,73,9,7,2
26,45,7,5,2
21,46,5,13,2
40,33,4,5,2
37,30,7,10,2
33,35,3,8,2
30,37,3,8,2
32,42,3,6,2
28,72,11,11,2
31,57,5,12,2
15,56,10,11,1
25,71,3,13,2
20,68,12,8,2
23,71,10,11,2
35,35,3,13,2
28,44,8,1,2
33,27,4,3,2
40,47,5,9,2
21,48,6,14,1
38,41,5,14,2
17,35,11,1,2
36,20,10,4,2
34,37,11,13,1
26,52,6,4,2
26,34,4,9,2
39,30,8,5,2
23,35,5,1,2
19,51,4,7,2
30,26,6,1,2
34,42,6,10,1
29,64,8,2,2
21,76,12,11,2
34,74,2,10,2
25,70,8,3,2
33,38,2,7,2
27,67,6,14,1
35,31,5,8,2
23,76,7,7,2
26,54,2,9,2
36,55,10,7,2
30,78,3,3,2
36,32,1,9,2
19,76,6,8,2
40,27,12,5,2
22,52,1,14,2
25,55,9,11,1
38,32,2,7,2
27,75,6,4,2
23,36,11,12,1
20,73,6,1,2
27,53,7,2,2
28,77,10,5,2
26,55,1,8,2
40,49,1,5,2
40,52,2,4,2
25,36,6,5,2
38,63,3,14,2
37,33,8,12,2
28,42,2,14,2
29,64,1,8,2
23,66,10,7,2
34,47,7,13,1
34,72,5,7,2
30,54,2,11,2
24,58,4,3,2
19,62,3,7,2
23,59,4,5,2
23,21,8,3,2
17,33,2,13,2
36,79,8,4,2
33,55,1,12,2
36,46,6,1,2
36,20,2,7,2
31,78,3,14,2
40,52,2,10,2
39,77,1,6,2
39,27,2,7,2
34,20,12,9,2
39,78,6,13,2
33,52,9,8,2
17,78,2,12,2
30,23,10,1,2
37,42,5,12,2
19,44,3,6,2
34,20,3,13,2
16,78,7,11,2
40,33,9,14,2
27,28,6,11,1
25,62,4,13,2
18,79,4,11,2
27,49,5,2,2
35,79,1,7,2
28,51,6,4,2
25,74,9,9,2
23,52,4,3,2
38,69,10,9,2
31,56,9,3,2
36,46,6,4,2
34,36,6,1,2
20,42,9,12,1
28,77,9,13,2
15,50,2,6,2
40,24,2,2,2
38,59,6,12,2
26,79,5,7,2
17,26,7,2,2
32,66,12,11,1
39,24,12,1,2
23,30,6,14,1
23,54,1,2,2
26,34,11,8,0
21,47,3,8,2
15,71,8,12,2
28,33,6,2,2
15,20,5,12,2
37,56,3,12,2
18,75,12,13,2
17,79,8,1,2
40,24,1,5,2
22,63,1,2,2
16,26,4,12,2
16,49,10,4,2
37,78,10,11,2
39,49,12,6,2
23,57,10,11,1
15,77,6,8,2
32,48,10,2,2
17,53,2,1,2
27,50,8,7,2
21,51,4,7,2
16,27,10,4,2
36,73,7,12,2
24,28,7,7,2
16,67,1,4,2
34,26,12,3,2
36,65,3,9,2
18,61,10,9,2
33,24,11,11,1
21,24,9,11,1
38,63,3,12,2
34,76,8,11,2
19,33,9,5,2
27,67,6,14,1
16,73,5,3,2
28,80,1,13,2
28,68,12,10,1
33,73,12,8,2
17,44,4,9,2
40,32,8,8,2
32,59,4,3,2
34,35,3,3,2
34,67,8,2,2
26,21,8,7,2
30,30,6,10,1
20,54,11,9,2
17,23,4,5,2
22,68,11,14,1
27,23,1,10,2
32,22,3,10,2
26,32,8,2,2
33,36,4,9,2
24,77,8,2,2
16,66,6,10,1
26,37,10,5,2
35,63,4,2,2
16,60,5,13,2
15,27,11,1,2
36,77,4,12,2
19,51,8,14,1
20,68,1,9,2
37,68,6,6,2
32,41,4,5,2
39,25,10,13,2
25,39,5,5,2
25,79,1,6,2
29,29,2,3,2
38,62,1,14,2
19,33,8,1,2
19,32,11,12,1
18,38,10,12,1
25,21,6,7,2
31,37,11,12,1
29,52,3,13,2
35,62,11,7,2
19,51,12,2,2
18,70,1,12,2
30,47,4,11,2
25,51,10,11,1
17,70,12,7,2
19,50,6,3,2
17,71,5,5,2
27,68,1,4,2
33,62,1,3,2
28,25,9,11,1
16,22,6,10,1
19,34,4,13,2
37,72,9,7,2
39,55,3,14,2
35,59,6,7,2
16,65,11,5,2
31,42,4,3,2
20,55,12,14,1
28,45,6,1,2
26,56,1,8,2
28,49,10,10,1
16,69,9,11,1
24,56,6,7,2
21,79,5,7,2
20,73,4,14,2
35,33,11,4,2
23,43,10,14,1
39,32,8,3,2
37,24,10,3,2
18,48,3,1,2
35,71,9,14,2
31,36,7,14,1
24,46,9,1,2
33,64,4,5,2
33,51,11,6,2
23,22,5,4,2
15,41,4,7,2
33,47,5,1,2
35,65,11,14,2
31,61,1,3,2
17,55,10,5,2
31,34,7,6,2
35,24,3,10,2
21,80,9,9,2
16,58,1,9,2
39,67,10,13,2
32,62,12,10,1
24,77,1,14,2
29,25,5,5,2
34,31,1,2,2
15,77,12,3,2
33,45,11,12,1
22,68,11,13,1
23,62,2,6,2
25,20,1,8,2
21,42,8,2,2
29,45,9,2,2
39,61,4,6,2
25,38,3,1,2
37,35,10,10,2
15,56,4,13,2
23,43,10,13,1
40,71,6,11,2
21,59,6,13,1
37,68,6,1,2
24,39,5,12,2
25,45,7,14,1
20,21,11,1,2
24,67,8,7,2
16,27,11,7,2
18,74,6,5,2
16,36,8,5,2
35,77,1,8,2
18,54,8,8,2
37,25,5,7,2
15,53,7,9,2
22,56,6,4,2
25,54,7,11,1
39,56,11,1,2
39,53,3,11,2
21,35,1,9,2
35,56,8,7,2
28,56,2,3,2
17,54,4,12,2
37,26,8,6,2
30,51,8,6,2
29,31,10,2,2
22,21,6,6,2
33,48,4,7,2
30,79,3,6,2
30,36,10,5,2
26,67,3,3,2
38,26,12,4,2
25,47,8,10,1
34,69,10,10,1
29,55,5,7,2
16,35,4,6,2
21,79,2,7,2
39,47,6,12,2
35,54,6,3,2
22,21,1,9,2
30,26,10,14,1
30,46,3,6,2
37,33,1,3,2
22,75,8,6,2
20,61,1,3,2
38,51,2,10,2
17,28,10,12,1
39,71,4,9,2
22,74,1,12,2
39,34,9,5,2
25,26,9,6,2
22,64,12,5,2
39,45,8,14,2
17,20,11,14,1
37,57,8,5,2
25,48,3,6,2
37,77,7,3,2
39,60,2,4,2
19,36,12,9,0
39,62,1,14,2
15,72,3,6,2
15,30,4,10,2
27,69,11,9,2
30,33,9,13,1
38,32,5,7,2
29,20,5,10,2
31,42,9,3,2
28,42,5,2,2
15,56,8,2,2
33,70,2,11,2
38,48,12,5,2
31,76,11,7,2
29,69,9,11,1
40,26,6,6,2
38,54,6,7,2
16,72,5,12,2
19,60,7,13,1
26,37,12,12,1
18,29,1,2,2
30,54,4,10,2
36,36,1,5,2
39,36,4,3,2
29,36,9,7,2
31,26,9,13,1
31,78,2,14,2
37,34,11,5,2
31,54,2,6,2
34,69,10,8,2
27,30,3,5,2
27,32,1,8,2
20,60,1,5,2
16,55,1,8,2
38,52,8,11,2
37,57,12,3,2
27,80,4,7,2
32,70,3,12,2
24,26,2,6,2
15,74,10,13,2
26,74,12,6,2
33,32,3,4,2
22,55,5,6,2
40,28,7,1,2
27,61,11,2,2
15,77,5,13,2
21,56,3,11,2
38,73,12,7,2
37,51,4,11,2
20,20,12,3,2
17,67,9,3,2
36,61,1,4,2
22,24,6,12,1
28,32,5,11,2
28,49,9,9,0
35,44,7,7,2
33,53,6,4,2
26,60,2,7,2
24,23,9,14,1
40,65,12,5,2
25,59,9,9,2
28,25,7,7,2
15,46,4,4,2
20,75,11,2,2
19,64,3,12,2
34,49,5,5,2
31,33,8,7,2
40,73,7,3,2
25,36,9,14,1
18,47,11,5,2
35,31,6,5,2
20,64,7,1,2
21,37,5,10,2
27,25,1,3,2
39,46,5,12,2
18,22,9,5,2
18,35,11,8,0
26,23,8,3,2
27,65,5,2,2
23,68,6,5,2
39,28,12,10,2
25,38,5,5,2
39,66,9,1,2
28,49,7,4,2
19,65,8,14,1
28,38,6,10,1
